Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,5120,61440.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Singapore),,WorkSpaces Personal,0,5120,61440.00,USD,,"Product (Enterprise Applications), Operating system (Windows), License (Included), Bundle type (Performance (2 vCPU, 8GB RAM)), Root volume (80 GB), User volume (50 GB), Number of WorkSpaces (80)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
